date,text
2020-01-06,"De NOS maakt melding van een <a href=""https://nos.nl/artikel/2317567-tot-nu-toe-59-gevallen-van-mysterieuze-longziekte-in-china.html"" rel=""noreferrer noopener"" target=""_blank"">nieuwe mysterieuze longziekte</a> in China. Er is nog veel onduidelijk. "
2020-01-09,"Het is duidelijk dat de <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://nos.nl/artikel/2317906-mysterieuze-longziekte-in-china-lijkt-nieuw-virus.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">mysterieuze longziekte in China</a> een coronavirus is."
2020-01-14,"WHO meldt dat het virus niet besmettelijk is. Een Tilburgse viroloog constateert dat dit <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.nrc.nl/nieuws/2020/06/19/hoe-nederland-reageerde-op-het-nieuwe-virus-uit-china-van-niks-aan-de-hand-tot-blinde-paniek-a4003075"" rel=""noreferrer noopener nofollow"" target=""_blank"">niet klopt</a> met de eerdere berichten."
2020-01-17,"Het Erasmus MC is druk met het <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://nos.nl/artikel/2318973-chinese-coronavirus-niet-in-europa-maar-erasmus-mc-is-er-toch-druk-mee.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">nieuwe virus in Wuhan</a>. Volgens het Europese gezondheidsinstituut ECDC is het risico dat het coronavirus ook in Europa opduikt laag."
2020-01-18,"Vijf werknemers van een bedrijf in Sittard keren terug uit Wuhan en keren terug <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.1limburg.nl/werknemers-sittards-bedrijf-thuis-na-terugkeer-uit-wuhan"" rel=""noreferrer noopener nofollow"" target=""_blank"">naar hun werk</a>."
2020-01-20,"De NOS bericht dat het nieuwe Wuhan-virus <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://nos.nl/artikel/2319472-nieuwe-wuhan-virus-overdraagbaar-van-mens-op-mens.html"" rel=""noreferrer noopener nofollow"" target=""_blank"">overdraagbaar is</a> van mens op mens. Buitenlandse Zaken adviseert Nederlanders die naar Wuhan reizen, het contact met zieke mensen en pluimvee- en visproducten te vermijden. "
2020-01-21,"Het RIVM laat via Twitter weten dat de kans op besmetting in Nederland <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://twitter.com/rivm/status/1219903407139577857"" rel=""noreferrer noopener nofollow"" target=""_blank"">erg klein lijkt</a>. Sommige Twitteraars spreken over een verkoudheidje."
2020-01-22,"Minister Bruins schrijft een coronabrief aan de Tweede Kamer met geruststellende informatie van de WHO. De WHO was op zijn beurt gerustgesteld door de Chinese overheid. Het RIVM zegt zich voor te bereiden op een <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://twitter.com/rivm/status/1219943939177881606"" rel=""noreferrer noopener nofollow"" target=""_blank"">uitbraak van het virus</a>. "
2020-01-24," Het Outbreak Management Team (OMT) komt voor het <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener nofollow"" target=""_blank"">eerst bijeen</a>. Omdat het virus nu ook buiten China opduikt, moet Nederland corona bestempelen tot een zogenoemde ‘A-ziekte’, adviseert het OMT. Medici moeten verdachte patiënten direct melden bij de GGD. Volgens het Twitter-account van het RIVM is het coronavirus <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://twitter.com/rivm/status/1220717815340158978"" rel=""noreferrer noopener nofollow"" target=""_blank"">niet erg besmettelijk</a>."
2020-01-25," Het RIVM meldt dat introductie van het virus in Europa een matig risico heeft en de <a aria-label=""undefined (opent in een nieuwe tab)"" href=""https://www.volkskrant.nl/nieuws-achtergrond/februari-de-verloren-maand-in-de-strijd-tegen-het-coronavirus~b09e4c7a8/"" rel=""noreferrer noopener nofollow"" target=""_blank"">verspreiding klein</a>. Een eventuele uitbraak in Nederland zal snel onder controle zijn. Buiten China is het coronavirus in 13 landen aanwezig, waaronder Frankrijk. Er zijn tekorten zijn aan beschermingsmiddelen."
