,date,measures,weeknumber,wk_monday
0,2020-01-01,,1,2019-12-30
1,2020-01-02,,1,2019-12-30
2,2020-01-03,,1,2019-12-30
3,2020-01-04,,1,2019-12-30
4,2020-01-05,,1,2019-12-30
5,2020-01-06,,2,2020-01-06
6,2020-01-07,,2,2020-01-06
7,2020-01-08,,2,2020-01-06
8,2020-01-09,,2,2020-01-06
9,2020-01-10,,2,2020-01-06
10,2020-01-11,,2,2020-01-06
11,2020-01-12,,2,2020-01-06
12,2020-01-13,,3,2020-01-13
13,2020-01-14,,3,2020-01-13
14,2020-01-15,,3,2020-01-13
15,2020-01-16,,3,2020-01-13
16,2020-01-17,,3,2020-01-13
17,2020-01-18,,3,2020-01-13
18,2020-01-19,,3,2020-01-13
19,2020-01-20,,4,2020-01-20
20,2020-01-21,,4,2020-01-20
21,2020-01-22,,4,2020-01-20
22,2020-01-23,,4,2020-01-20
23,2020-01-24,,4,2020-01-20
24,2020-01-25,,4,2020-01-20
25,2020-01-26,,4,2020-01-20
26,2020-01-27,,5,2020-01-27
27,2020-01-28,,5,2020-01-27
28,2020-01-29,,5,2020-01-27
29,2020-01-30,,5,2020-01-27
30,2020-01-31,,5,2020-01-27
31,2020-02-01,,5,2020-01-27
32,2020-02-02,,5,2020-01-27
33,2020-02-03,,6,2020-02-03
34,2020-02-04,,6,2020-02-03
35,2020-02-04,,6,2020-02-03
36,2020-02-06,,6,2020-02-03
37,2020-02-07,,6,2020-02-03
38,2020-02-08,,6,2020-02-03
39,2020-02-09,,6,2020-02-03
40,2020-02-10,,7,2020-02-10
41,2020-02-11,,7,2020-02-10
42,2020-02-12,,7,2020-02-10
43,2020-02-13,,7,2020-02-10
44,2020-02-14,,7,2020-02-10
45,2020-02-15,,7,2020-02-10
46,2020-02-16,,7,2020-02-10
47,2020-02-17,,8,2020-02-17
48,2020-02-18,,8,2020-02-17
49,2020-02-19,,8,2020-02-17
50,2020-02-20,,8,2020-02-17
51,2020-02-21,,8,2020-02-17
52,2020-02-22,,8,2020-02-17
53,2020-02-23,,8,2020-02-17
54,2020-02-24,,9,2020-02-24
55,2020-02-25,,9,2020-02-24
56,2020-02-26,,9,2020-02-24
57,2020-02-27,,9,2020-02-24
58,2020-02-28,,9,2020-02-24
59,2020-02-29,,9,2020-02-24
62,2020-03-01,,9,2020-02-24
63,2020-03-02,,10,2020-03-02
64,2020-03-03,,10,2020-03-02
65,2020-03-04,,10,2020-03-02
66,2020-03-05,,10,2020-03-02
67,2020-03-06,"RIVM adviseert mensen in Noord-Brabant
met klachten thuis te blijven tot ze hersteld zijn.",10,2020-03-02
68,2020-03-07,,10,2020-03-02
69,2020-03-08,,10,2020-03-02
70,2020-03-09,"Rutte adviseerd:
- geen hand te schudden
- mensenin Noord-Brabant de komende zeven dagen zoveel mogelijk vanuit huis werken",11,2020-03-09
71,2020-03-10,,11,2020-03-09
72,2020-03-11,"Advies thuiswerken wordt uitgebreid naar het hele land

Bijeenkomsten van meer dan 100 mensen zijn verboden",11,2020-03-09
73,2020-03-12,,11,2020-03-09
74,2020-03-13,"Inkomende vluchten zijn verboden uit risicovolle regio's:
- China
- Hong Kong
- Iran
- Zuid-Korea
- Italië.",11,2020-03-09
75,2020-03-14,,11,2020-03-09
